year,player_name,sets_won,sets_played,games_won,games_played,matches_won,matches_played
2004,Marat Safin,18,30,166,307,6,7
2004,Andy Roddick,14,17,101,156,4,5
2004,David Nalbandian,13,16,97,145,4,5
2004,Roger Federer,21,23,137,210,7,7
2004,Sebastien Grosjean,12,16,86,136,4,5
2004,Juan Carlos Ferrero,15,20,122,194,5,6
2004,Hicham Arazi,11,17,95,154,4,5
2004,Andre Agassi,16,19,107,170,5,6
2005,Nikolay Davydenko,12,15,90,136,4,5
2005,Dominik Hrbaty,12,18,104,170,4,5
2005,Marat Safin,21,26,151,259,7,7
2005,Andy Roddick,16,20,118,184,5,6
2005,David Nalbandian,14,22,122,215,4,5
2005,Roger Federer,16,19,116,188,5,6
2005,Lleyton Hewitt,19,29,155,277,6,7
2005,Andre Agassi,12,16,100,157,4,5
2006,Nikolay Davydenko,13,22,122,219,4,5
2006,Fabrice Santoro,12,18,102,163,4,5
2006,Marcos Baghdatis,19,29,154,270,6,7
2006,David Nalbandian,17,25,132,222,5,6
2006,Roger Federer,21,26,149,237,7,7
2006,Sebastien Grosjean,14,18,102,170,4,5
2006,Ivan Ljubicic,14,17,102,168,4,5
2006,Nicolas Kiefer,16,25,142,240,5,6
2007,Nikolay Davydenko,14,18,102,167,4,5
2007,Andy Roddick,15,22,128,215,5,6
2007,Tommy Robredo,12,17,101,160,4,5
2007,Roger Federer,21,21,132,204,7,7
2007,Rafael Nadal,12,18,106,169,4,5
2007,Mardy Fish,10,16,88,151,4,5
2007,Tommy Haas,15,21,120,194,5,6
2007,Fernando Gonzalez,18,25,150,249,6,7
2008,James Blake,12,17,99,159,4,5
2008,Jarkko Nieminen,12,19,109,186,4,5
2008,Roger Federer,15,20,129,206,5,6
2008,Mikhail Youzhny,12,16,100,157,4,5
2008,Rafael Nadal,14,17,103,149,5,6
2008,Novak Djokovic,21,22,136,208,7,7
2008,Jo-Wilfried Tsonga,19,24,143,240,6,7
2008,David Ferrer,11,15,89,133,4,5
2009,Andy Roddick,15,20,118,182,5,6
2009,Roger Federer,20,25,149,241,6,7
2009,Fernando Verdasco,17,23,128,205,5,6
2009,Rafael Nadal,21,25,149,242,7,7
2009,Novak Djokovic,13,18,106,172,4,5
2009,Jo-Wilfried Tsonga,13,18,104,177,4,5
2009,Juan Martin Del Potro,12,17,104,161,4,5
2009,Gilles Simon,11,16,95,150,4,5
2010,Marin Cilic,16,26,144,261,5,6
2010,Nikolay Davydenko,13,18,104,158,4,5
2010,Andy Murray,18,22,130,201,6,7
2010,Andy Roddick,14,20,111,198,4,5
2010,Roger Federer,21,23,135,210,7,7
2010,Rafael Nadal,12,17,96,157,4,5
2010,Novak Djokovic,14,18,103,159,4,5
2010,Jo-Wilfried Tsonga,15,23,133,227,5,6
2011,Tomas Berdych,12,16,96,144,4,5
2011,Andy Murray,18,23,137,205,6,7
2011,Roger Federer,15,21,121,189,5,6
2011,Alexandr Dolgopolov,13,21,112,189,4,5
2011,Rafael Nadal,11,14,84,116,4,5
2011,Stanislas Wawrinka,12,15,93,147,4,5
2011,Novak Djokovic,19,20,124,184,7,7
2011,David Ferrer,16,21,120,189,5,6
2012,Tomas Berdych,13,18,112,192,4,5
2012,Andy Murray,17,21,117,178,5,6
2012,Roger Federer,13,16,100,159,4,5
2012,Rafael Nadal,20,25,152,251,6,7
2012,Novak Djokovic,21,26,153,234,7,7
2012,Kei Nishikori,12,20,106,177,4,5
2012,David Ferrer,12,17,101,156,4,5
2012,Juan Martin Del Potro,12,16,94,143,4,5
2013,Tomas Berdych,13,16,96,145,4,5
2013,Andy Murray,19,24,146,228,6,7
2013,Roger Federer,17,22,131,222,5,6
2013,Jeremy Chardy,12,20,114,185,4,5
2013,Novak Djokovic,21,25,153,240,7,7
2013,Nicolas Almagro,13,18,108,179,4,5
2013,Jo-Wilfried Tsonga,14,18,104,176,4,5
2013,David Ferrer,15,21,123,192,5,6
2014,Tomas Berdych,16,20,118,188,5,6
2014,Andy Murray,13,17,104,159,4,5
2014,Roger Federer,15,19,117,184,5,6
2014,Stanislas Wawrinka,17,22,127,225,6,6
2014,Rafael Nadal,17,21,126,207,6,7
2014,Grigor Dimitrov,13,19,109,193,4,5
2014,Novak Djokovic,14,17,100,159,4,5
2014,David Ferrer,13,18,106,173,4,5
